氏名,ふりがな,会派,選挙区,当選回数,令和6年1月19日現在
大野　敬太郎君,おおの 　けいたろう,自民,香川3,4,
岡田　　克也君,おかだ 　かつや,立憲,三重3,11,
緒方　林太郎君,おがた 　りんたろう,有志,福岡9,3,
岡本　あき子君,おかもと 　あきこ,立憲,（比）東北,2,
岡本　　三成君,おかもと 　みつなり,公明,東京12,4,
小川　　淳也君,おがわ 　じゅんや,立憲,香川1,6,
奥下　　剛光君,おくした 　たけみつ,維教,大阪7,1,
奥野　　信亮君,おくの 　しんすけ,自民,（比）近畿,6,
奥野　総一郎君,おくの 　そういちろう,立憲,千葉9,5,
小熊　　慎司君,おぐま 　しんじ,立憲,福島4,4（参1）,
小倉　　將信君,おぐら 　まさのぶ,自民,東京23,4,
尾崎　　正直君,おざき 　まさなお,自民,高知2,1,
小里　　泰弘君,おざと 　やすひろ,自民,（比）九州,6,
小沢　　一郎君,おざわ 　いちろう,立憲,（比）東北,18,
小田原　　潔君,おだわら 　きよし,自民,東京21,4,
越智　　隆雄君,おち 　たかお,自民,（比）東京,5,
落合　　貴之君,おちあい 　たかゆき,立憲,東京6,3,
鬼木　　　誠君,おにき 　まこと,自民,福岡2,4,
小野　　泰輔君,おの 　たいすけ,維教,（比）東京,1,
小野寺　五典君,おのでら 　いつのり,自民,宮城6,8,
小渕　　優子君,おぶち 　ゆうこ,自民,群馬5,8,
尾身　　朝子君,おみ 　あさこ,自民,（比）北関東,3,
海江田　万里君,かいえだ 　ばんり,無,（比）東京,8,
柿沢　　未途君,かきざわ 　みと,無,東京15,5,
笠井　　　亮君,かさい 　あきら,共産,（比）東京,6（参1）,
河西　　宏一君,かさい 　こういち,公明,（比）東京,1,
梶山　　弘志君,かじやま 　ひろし,自民,茨城4,8,
勝俣　　孝明君,かつまた 　たかあき,自民,静岡6,4,
勝目　　　康君,かつめ 　やすし,自民,京都1,1,
加藤　　鮎子君,かとう 　あゆこ,自民,山形3,3,
加藤　　勝信君,かとう 　かつのぶ,自民,岡山5,7,
加藤　　竜祥君,かとう 　りゅうしょう,自民,長崎2,1,
門山　　宏哲君,かどやま 　ひろあき,自民,（比）南関東,4,
金子　　恵美君,かねこ 　えみ,立憲,福島1,3（参1）,
金子　　俊平君,かねこ 　しゅんぺい,自民,岐阜4,2,
金子　　恭之君,かねこ 　やすし,自民,熊本4,8,
金子　　容三君,かねこ 　ようぞう,自民,長崎4,1,
金田　　勝年君,かねだ 　かつとし,自民,（比）東北,5（参2）,
金村　　龍那君,かねむら 　りゅうな,維新,（比）南関東,1,
鎌田　さゆり君,かまた 　さゆり,立憲,宮城2,3,
上川　　陽子君,かみかわ 　ようこ,自民,静岡1,7,
神谷　　　裕君,かみや 　ひろし,立憲,（比）北海道,2,
亀岡　　偉民君,かめおか 　よしたみ,自民,（比）東北,5,
川崎　ひでと君,かわさき 　ひでと,自民,三重2,1,
菅　　　直人君,かん 　なおと,立憲,東京18,14,
菅家　　一郎君,かんけ 　いちろう,自民,（比）東北,4,
神田　　憲次君,かんだ 　けんじ,自民,愛知5,4,
神田　　潤一君,かんだ 　じゅんいち,自民,青森2,1,
城井　　　崇君,きい 　たかし,立憲,福岡10,4,
城内　　　実君,きうち 　みのる,自民,静岡7,6,
黄川田　仁志君,きかわだ 　ひとし,自民,埼玉3,4,
菊田　真紀子君,きくた 　まきこ,立憲,新潟4,7,
岸　　信千世君,きし 　のぶちよ,自民,山口2,1,
