氏名,ふりがな,会派,選挙区,当選回数,令和6年1月19日現在
山崎　　　誠君,やまざき 　まこと,立憲,（比）南関東,3,
山崎　　正恭君,やまさき 　まさやす,公明,（比）四国,1,
山下　　貴司君,やました 　たかし,自民,岡山2,4,
山田　　勝彦君,やまだ 　かつひこ,立憲,(比)九州,1,
山田　　賢司君,やまだ 　けんじ,自民,兵庫7,4,
山田　　美樹君,やまだ 　みき,自民,東京1,4,
山井　　和則君,やまのい 　かずのり,立憲,京都6,8,
山本　　剛正君,やまもと 　ごうせい,維教,（比）九州,2,
山本　　左近君,やまもと 　さこん,自民,（比）東海,1,
山本ともひろ君,やまもと 　ともひろ,自民,（比）南関東,5,
山本　　有二君,やまもと 　ゆうじ,自民,（比）四国,11,
屋良　　朝博君,やら 　ともひろ,立憲,（比）九州,2,
柚木　　道義君,ゆのき 　みちよし,立憲,（比）中国,6,
湯原　　俊二君,ゆはら 　しゅんじ,立憲,（比）中国,2,
義家　　弘介君,よしいえ 　ひろゆき,自民,（比）南関東,4（参1）,
吉川　　　赳君,よしかわ 　たける,無,（比）東海,3,
吉川　　　元君,よしかわ 　はじめ,立憲,（比）九州,4,
吉田　久美子君,よしだ 　くみこ,公明,（比）九州,1,
吉田　　真次君,よしだ 　しんじ,自民,山口4,1,
吉田　　統彦君,よしだ 　つねひこ,立憲,（比）東海,3,
吉田　とも代君,よしだ 　ともよ,維教,（比）四国,1,
吉田　　豊史君,よしだ 　とよふみ,無,（比）北陸信越,2,
吉田　　宣弘君,よしだ 　のぶひろ,公明,（比）九州,3,
吉田　はるみ君,よしだ 　はるみ,立憲,東京8,1,
吉野　　正芳君,よしの 　まさよし,自民,福島5,8,
米山　　隆一君,よねやま 　りゅういち,立憲,新潟5,1,
笠　　　浩史君,りゅう 　ひろふみ,立憲,神奈川9,7,
若林　　健太君,わかばやし 　けんた,自民,長野1,1（参1）,
若宮　　健嗣君,わかみや 　けんじ,自民,（比）東京,5,
鷲尾　英一郎君,わしお 　えいいちろう,自民,（比）北陸信越,6,
早稲田　ゆき君,わせだ 　ゆき,立憲,神奈川4,2,
和田　有一朗君,わだ 　ゆういちろう,維教,（比）近畿,1,
和田　　義明君,わだ 　よしあき,自民,北海道5,3,
渡辺　　孝一君,わたなべ 　こういち,自民,（比）北海道,4,
渡辺　　　周君,わたなべ 　しゅう,立憲,（比）東海,9,
渡辺　　　創君,わたなべ 　そう,立憲,宮崎1,1,
渡辺　　博道君,わたなべ 　ひろみち,自民,千葉6,8,
鰐淵　　洋子君,わにぶち 　ようこ,公明,（比）近畿,2（参1）,
