氏名,ふりがな,会派,選挙区,当選回数
城内　　　実君,きうち 　みのる,自民,静岡7,7
黄川田　仁志君,きかわだ 　ひとし,自民,埼玉3,5
菊田　真紀子君,きくた 　まきこ,立憲,新潟2,8
菊池　大二郎君,きくち 　だいじろう,国民,（比）東北,1
岸　　信千世君,きし 　のぶちよ,自民,山口2,2
岸田　　文雄君,きしだ 　ふみお,自民,広島1,11
岸田　　光広君,きしだ 　みつひろ,国民,（比）北関東,1
北神　　圭朗君,きたがみ 　けいろう,有志,京都4,5
北野　　裕子君,きたの 　ゆうこ,参政,（比）近畿,1
木原　　誠二君,きはら 　せいじ,自民,東京20,6
木原　　　稔君,きはら 　みのる,自民,熊本1,6
吉良　　州司君,きら 　しゅうじ,有志,大分1,7
金城　　泰邦君,きんじょう 　やすくに,公明,（比）九州,2
草間　　　剛君,くさま 　つよし,自民,神奈川19,1
櫛渕　　万里君,くしぶち 　まり,れ新,（比）東京,3
工藤　　彰三君,くどう 　しょうぞう,自民,（比）東海,5
国定　　勇人君,くにさだ 　いさと,自民,（比）北陸信越,2
国光　あやの君,くにみつ 　あやの,自民,（比）北関東,3
栗原　　　渉君,くりはら 　わたる,自民,福岡5,1
黒岩　　宇洋君,くろいわ 　たかひろ,立憲,新潟3,4（参1）
黒田　　征樹君,くろだ 　まさき,維新,大阪16,1
玄葉　光一郎君,げんば 　こういちろう,無,福島2,11
源馬　謙太郎君,げんま 　けんたろう,立憲,静岡8,3
小池　　正昭君,こいけ 　まさあき,自民,千葉10,1
小泉　進次郎君,こいずみ 　しんじろう,自民,神奈川11,6
小泉　　龍司君,こいずみ 　りゅうじ,自民,埼玉11,8
神津　たけし君,こうづ 　たけし,立憲,長野3,2
河野　　太郎君,こうの 　たろう,自民,神奈川15,10
高村　　正大君,こうむら 　まさひろ,自民,山口1,3
古賀　　　篤君,こが 　あつし,自民,福岡3,5
國場　幸之助君,こくば 　こうのすけ,自民,（比）九州,5
輿水　　恵一君,こしみず 　けいいち,公明,（比）北関東,4
小寺　　裕雄君,こてら 　ひろお,自民,（比）近畿,3
後藤　　茂之君,ごとう 　しげゆき,自民,長野4,8
後藤　　祐一君,ごとう 　ゆういち,立憲,神奈川16,6
許斐　亮太郎君,このみ 　りょうたろう,国民,（比）九州,1
小林　　茂樹君,こばやし 　しげき,自民,（比）近畿,4
小林　　鷹之君,こばやし 　たかゆき,自民,千葉2,5
小林　　史明君,こばやし 　ふみあき,自民,広島6,5
小宮山　泰子君,こみやま 　やすこ,立憲,埼玉7,8
小森　　卓郎君,こもり 　たくお,自民,石川1,2
小山　　千帆君,こやま 　ちほ,立憲,（比）東海,1
小山　　展弘君,こやま 　のぶひろ,立憲,静岡3,4
近藤　　和也君,こんどう 　かずや,立憲,石川3,4
近藤　　昭一君,こんどう 　しょういち,立憲,愛知3,10
斉木　　武志君,さいき 　たけし,維新,（比）北陸信越,3
斎藤アレックス君,さいとう 　あれっくす,維新,滋賀1,2
齋藤　　　健君,さいとう 　けん,自民,千葉7,6
斉藤　　鉄夫君,さいとう 　てつお,公明,広島3,11
斎藤　　洋明君,さいとう 　ひろあき,自民,（比）北陸信越,5
齋藤　　裕喜君,さいとう 　ゆうき,立憲,（比）東北,1
酒井　なつみ君,さかい 　なつみ,立憲,東京15,2
坂井　　　学君,さかい 　まなぶ,自民,神奈川5,6
阪口　　直人君,さかぐち 　なおと,れ新,（比）東海,3
坂本　　哲志君,さかもと 　てつし,自民,熊本3,8
坂本　祐之輔君,さかもと 　ゆうのすけ,立憲,埼玉10,4
坂本　竜太郎君,さかもと 　りゅうたろう,自民,福島4,1
櫻井　　　周君,さくらい 　しゅう,立憲,兵庫6,3
笹川　　博義君,ささがわ 　ひろよし,自民,群馬3,5
佐々木ナオミ君,ささき 　なおみ,立憲,（比）南関東,1
佐々木　　紀君,ささき 　はじめ,自民,石川2,5
佐藤　　公治君,さとう 　こうじ,立憲,広島5,5（参1）
佐藤　　　勉君,さとう 　つとむ,自民,（比）北関東,10
佐藤　　英道君,さとう 　ひでみち,公明,（比）北海道,5
佐原　　若子君,さわら 　わかこ,れ新,（比）東北,1
志位　　和夫君,しい 　かずお,共産,（比）南関東　　,11
塩川　　鉄也君,しおかわ 　てつや,共産,（比）北関東,9
塩崎　　彰久君,しおざき 　あきひさ,自民,愛媛1,2
重徳　　和彦君,しげとく 　かずひこ,立憲,愛知12,5
階　　　　猛君,しな 　たけし,立憲,岩手1,7
篠田　奈保子君,しのだ 　なおこ,立憲,（比）北海道,1
篠原　　　豪君,しのはら 　ごう,立憲,神奈川1,4
篠原　　　孝君,しのはら 　たかし,立憲,長野1,8
柴田　　勝之君,しばた 　かつゆき,立憲,（比）東京,1
柴山　　昌彦君,しばやま 　まさひこ,自民,埼玉8,8
