氏名,ふりがな,会派,選挙区,当選回数
山口　　俊一君,やまぐち 　しゅんいち,自民,徳島2,12
山口　　　壯君,やまぐち 　つよし,自民,兵庫12,8
山口　　良治君,やまぐち 　りょうじ,公明,（比）北関東,1
山崎　　正恭君,やまさき 　まさやす,公明,（比）四国,2
山崎　　　誠君,やまざき 　まこと,立憲,（比）南関東,4
山下　　貴司君,やました 　たかし,自民,岡山2,5
山田　　勝彦君,やまだ 　かつひこ,立憲,（比）九州,3
山田　　賢司君,やまだ 　けんじ,自民,兵庫7,5
山井　　和則君,やまのい 　かずのり,立憲,京都6,9
山花　　郁夫君,やまはな 　いくお,立憲,東京22,5
山本　　大地君,やまもと 　だいち,自民,和歌山1,1
屋良　　朝博君,やら 　ともひろ,立憲,（比）九州,3
柚木　　道義君,ゆのき 　みちよし,立憲,岡山4,7
吉川　　　元君,よしかわ 　はじめ,立憲,（比）九州,5
吉川　　里奈君,よしかわ 　りな,参政,（比）九州,1
吉田　　真次君,よしだ 　しんじ,自民,（比）中国,2
吉田　　宣弘君,よしだ 　のぶひろ,公明,（比）九州,4
吉田　はるみ君,よしだ 　はるみ,立憲,東京8,2
米山　　隆一君,よねやま 　りゅういち,立憲,新潟4,2
笠　　　浩史君,りゅう 　ひろふみ,立憲,神奈川9,8
若山　　慎司君,わかやま 　しんじ,自民,（比）東海,1
早稲田　ゆき君,わせだ 　ゆき,立憲,神奈川4,3
和田　有一朗君,わだ 　ゆういちろう,維新,（比）近畿,2
渡辺　　　周君,わたなべ 　しゅう,立憲,静岡6,10
渡辺　　　創君,わたなべ 　そう,立憲,宮崎1,2
鰐淵　　洋子君,わにぶち 　ようこ,公明,（比）近畿,3（参1）
